timesteps,walltime,reward_mean,reward_std,episode_count,fps
10000,4.476524353027344,-1.3639981746673584,10.185885429382324,10,2233.8759294892006
20000,8.40666151046753,-1.170206069946289,8.722869873046875,20,2379.06569392583
30000,20.022112369537354,-0.4651055634021759,7.848258018493652,30,1498.343403848013
40000,97.15604591369629,-0.2005697637796402,5.668701171875,40,411.7088095117827
50000,243.80097007751465,-0.13879188895225525,3.440300703048706,50,205.0853201449645
60000,376.3307807445526,-0.004156368784606457,1.073814868927002,60,159.43420806901005
70000,445.83114647865295,-0.02541610598564148,1.3999929428100586,70,157.010115943866
80000,619.708470582962,-0.0029338377062231302,0.4667322039604187,80,129.0929587016032
90000,680.6450200080872,0.11593075841665268,3.96990704536438,90,132.22751559826392
100000,759.1277270317078,-0.053721439093351364,3.020517349243164,100,131.73013768185433
110000,858.3017957210541,0.05020851269364357,1.8845138549804688,110,128.16004877117805
120000,884.8269305229187,0.04510538652539253,1.0556658506393433,120,135.61974196364244
130000,1034.5188834667206,0.04807740077376366,1.301686406135559,130,125.66227845388767
140000,1136.706817150116,0.03883332759141922,0.7285292148590088,140,123.16280494472595
150000,1237.9576497077942,0.031536806374788284,2.502577304840088,150,121.1673113659468
160000,1327.6231217384338,0.015831496566534042,0.32677027583122253,160,120.51612944981757
170000,1369.880688905716,0.005593373905867338,0.11891881376504898,170,124.09839877062498
180000,1454.7741436958313,0.09704498946666718,4.232679843902588,180,123.73054661441313
190000,1507.387039422989,0.0814385637640953,0.9854947924613953,190,126.0459291680854
200000,1575.7692489624023,0.14995518326759338,2.7450931072235107,200,126.92213668447592
210000,1619.9378361701965,0.04969184845685959,2.6639087200164795,210,129.63460406386645
220000,1643.5180728435516,0.12916386127471924,3.456326484680176,220,133.85919122834133
230000,1683.661024093628,0.04415831342339516,0.991254985332489,230,136.60707037143467
240000,1719.2268614768982,0.1749304234981537,3.2682809829711914,240,139.59763273697837
250000,1769.5051720142365,0.040077418088912964,0.6211490631103516,250,141.28243531236689
260000,1801.9588768482208,0.4010758101940155,4.501209735870361,260,144.28742150584594
270000,1858.2907276153564,0.2758903503417969,5.120378494262695,270,145.2948109720573
